date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:04	126/126	---MCZ	200	added ('OK')	text/plain	date:Wed,%2023%20Apr%202025%2013:41:00%20GMT	https://45-in-1-sensor-kit.readthedocs.io/robots.txt		(from )
15:41:04	16787/16787	---MCZ	200	added ('OK')	text/html	etag:W/%22164a95b7a12bb430410087822317cad1%22	https://45-in-1-sensor-kit.readthedocs.io/en/latest/	C:/Moje%20Strony%20Web/Pierwszy/45-in-1-sensor-kit.readthedocs.io/en/latest/index.html	(from )
15:41:04	4902/4902	---MCZ	200	added ('OK')	text/css	etag:W/%22121792834af0e58f9537f94a00164071%22	https://45-in-1-sensor-kit.readthedocs.io/en/latest/_static/pygments.css?v=80d5e7a1	C:/Moje%20Strony%20Web/Pierwszy/45-in-1-sensor-kit.readthedocs.io/en/latest/_static/pygments0de2.css	(from https://45-in-1-sensor-kit.readthedocs.io/en/latest/)
15:41:04	135314/135314	---MCZ	200	added ('OK')	text/css	etag:W/%2282420d757a53d8ef21478f0afcaf6a61%22	https://45-in-1-sensor-kit.readthedocs.io/en/latest/_static/css/theme.css?v=19f00094	C:/Moje%20Strony%20Web/Pierwszy/45-in-1-sensor-kit.readthedocs.io/en/latest/_static/css/themeadc2.css	(from https://45-in-1-sensor-kit.readthedocs.io/en/latest/)
15:41:04	89501/89501	---MCZ	200	added ('OK')	text/javascript	etag:W/%228fb8fee4fcc3cc86ff6c724154c49c42%22	https://45-in-1-sensor-kit.readthedocs.io/en/latest/_static/jquery.js?v=5d32c60e	C:/Moje%20Strony%20Web/Pierwszy/45-in-1-sensor-kit.readthedocs.io/en/latest/_static/jquery3b25.js	(from https://45-in-1-sensor-kit.readthedocs.io/en/latest/)
15:41:05	4289/4289	---MCZ	200	added ('OK')	text/javascript	etag:W/%2240cd687d0309b16ead149fceb7ef5c45%22	https://45-in-1-sensor-kit.readthedocs.io/en/latest/_static/_sphinx_javascript_frameworks_compat.js?v=2cd50e6c	C:/Moje%20Strony%20Web/Pierwszy/45-in-1-sensor-kit.readthedocs.io/en/latest/_static/_sphinx_javascript_frameworks_compatfa9a.js	(from https://45-in-1-sensor-kit.readthedocs.io/en/latest/)
15:41:05	323/323	---MCZ	200	added ('OK')	text/javascript	etag:W/%226609ab8ba201f4d253d8c8c531dec13a%22	https://45-in-1-sensor-kit.readthedocs.io/en/latest/_static/documentation_options.js?v=5929fcd5	C:/Moje%20Strony%20Web/Pierwszy/45-in-1-sensor-kit.readthedocs.io/en/latest/_static/documentation_options0b7c.js	(from https://45-in-1-sensor-kit.readthedocs.io/en/latest/)
15:41:05	4472/4472	---MCZ	200	added ('OK')	text/javascript	etag:W/%22c11d2de693be9fb96bc1c8a9a35d4002%22	https://45-in-1-sensor-kit.readthedocs.io/en/latest/_static/doctools.js?v=888ff710	C:/Moje%20Strony%20Web/Pierwszy/45-in-1-sensor-kit.readthedocs.io/en/latest/_static/doctools56c1.js	(from https://45-in-1-sensor-kit.readthedocs.io/en/latest/)
15:41:05	5123/5123	---MCZ	200	added ('OK')	text/javascript	etag:W/%220cd5ef6415c4af33c6faf75b54102cf5%22	https://45-in-1-sensor-kit.readthedocs.io/en/latest/_static/sphinx_highlight.js?v=dc90522c	C:/Moje%20Strony%20Web/Pierwszy/45-in-1-sensor-kit.readthedocs.io/en/latest/_static/sphinx_highlight7f57.js	(from https://45-in-1-sensor-kit.readthedocs.io/en/latest/)
15:41:06	5023/5023	---MCZ	200	added ('OK')	text/javascript	etag:W/%22cafe855b98be202cc6887a7df61b4885%22	https://45-in-1-sensor-kit.readthedocs.io/en/latest/_static/js/theme.js	C:/Moje%20Strony%20Web/Pierwszy/45-in-1-sensor-kit.readthedocs.io/en/latest/_static/js/theme.js	(from https://45-in-1-sensor-kit.readthedocs.io/en/latest/)
